Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
8,Rest,4 mi pace,Stretch & strengthen,8 mi easy,Stretch & strengthen,Rest,12 mi easy
7,Rest,6 mi easy pace,Stretch & strengthen,6 mi easy,Stretch & strengthen,Rest,14 mi easy
6,Rest,4 mi pace,Stretch & strengthen,8 mi easy,Stretch & strengthen,Rest,12 mi easy
5,Rest,6 mi easy pace,Stretch & strengthen,6 mi easy,Stretch & strengthen,Rest,16 mi easy
4,Rest,4 mi pace,Stretch & strengthen,10 mi easy,Stretch & strengthen,Rest,12 mi easy
3,Rest,6 mi easy pace,Stretch & strengthen,6 mi easy,Stretch & strengthen,Rest,20 mi easy
2,Rest,4 mi pace,Stretch & strengthen,8 mi easy,Stretch & strengthen,Rest,12 mi easy
1,Rest,6 mi easy pace,Stretch & strengthen,Rest,Rest,Rest,Marathon
